215.0,99.6
173.0,139.2
161.0,178.8
161.0,218.4
163.0,258.0
204.0,297.6
255.0,297.6
295.0,297.6
327.0,258.0
327.0,218.4
328.0,178.8
310.0,139.2
272.0,99.6
273.0,258.0
347.0,297.6
375.0,337.2
434.0,178.8
434.0,218.4
434.0,258.0
464.0,297.6
515.0,297.6
536.0,258.0
537.0,218.4
538.0,178.8
556.0,297.6
165.0,456.0
214.0,456.0
260.0,456.0
167.0,495.6
305.0,456.0
165.0,535.2
176.0,574.8000000000001
216.0,574.8000000000001
271.0,574.8000000000001
173.0,614.4
173.0,654.0
171.0,693.6
220.0,693.6
275.0,693.6
317.0,693.6
373.0,456.0
373.0,495.6
372.0,535.2
374.0,574.8000000000001
375.0,614.4
375.0,654.0
379.0,693.6
425.0,456.0
470.0,495.6
473.0,535.2
456.0,574.8000000000001
415.0,574.8000000000001
450.0,614.4
484.0,654.0
506.0,693.6
622.0,456.0
607.0,495.6
598.0,535.2
587.0,574.8000000000001
582.0,614.4
574.0,654.0
567.0,693.6
654.0,495.6
672.0,535.2
687.0,574.8000000000001
699.0,614.4
719.0,654.0
734.0,693.6
636.0,574.8000000000001
